Employee ID,Title,BusinessUnit,EmployeeStatus,EmployeeType,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age
3503,Area Sales Manager,CCDR,Active,Part-Time,Other,Single,Fully Meets,4,28-01-2023,5,2,3,20-Feb-23,Technical Skills,Internal,Completed,4,996.35,71
3504,Area Sales Manager,SVG,Active,Full-Time,Hispanic,Married,Fully Meets,2,20-04-2023,3,4,3,02-Jun-23,Communication Skills,Internal,Completed,5,963.23,41
3505,Area Sales Manager,EW,Active,Contract,Hispanic,Widowed,Fully Meets,1,10-11-2022,4,3,2,13-Sep-22,Leadership Development,Internal,Failed,5,260.97,77
3506,Area Sales Manager,MSC,Active,Full-Time,Other,Married,Fully Meets,2,27-06-2023,2,2,3,21-May-23,Leadership Development,Internal,Completed,1,781.81,31
3507,Area Sales Manager,TNS,Active,Full-Time,White,Single,Fully Meets,4,31-03-2023,2,5,2,25-May-23,Project Management,Internal,Passed,4,651.77,48
3508,Area Sales Manager,CCDR,Active,Full-Time,Asian,Single,Fully Meets,5,17-04-2023,1,5,4,04-Apr-23,Communication Skills,External,Completed,1,568.22,79
3509,Area Sales Manager,BPC,Active,Part-Time,Black,Married,Fully Meets,2,03-12-2022,4,5,2,04-Mar-23,Leadership Development,External,Completed,4,612.1,44
3510,Area Sales Manager,PYZ,Active,Part-Time,Hispanic,Married,Fully Meets,2,22-08-2022,2,4,3,27-Oct-22,Technical Skills,External,Completed,4,473.23,64
3511,Area Sales Manager,WBL,Active,Part-Time,Asian,Divorced,Fully Meets,4,11-05-2023,5,4,5,07-Apr-23,Technical Skills,Internal,Completed,3,344.44,24
3514,Area Sales Manager,BPC,Active,Full-Time,Asian,Married,Fully Meets,1,25-08-2022,2,1,1,21-Feb-23,Leadership Development,Internal,Incomplete,3,975.46,62
3516,Area Sales Manager,SVG,Active,Contract,Asian,Divorced,Fully Meets,5,15-11-2022,2,3,5,22-Jun-23,Technical Skills,Internal,Incomplete,1,570.42,34
3517,Area Sales Manager,EW,Active,Part-Time,Hispanic,Widowed,Fully Meets,4,01-01-2023,4,1,1,17-Sep-22,Technical Skills,Internal,Failed,3,391.31,78
3518,Area Sales Manager,MSC,Active,Contract,Hispanic,Married,Fully Meets,2,13-05-2023,4,2,5,27-Jun-23,Customer Service,Internal,Completed,3,826.58,52
3519,Area Sales Manager,TNS,Active,Part-Time,Hispanic,Widowed,Fully Meets,2,10-06-2023,1,3,4,11-Dec-22,Leadership Development,External,Incomplete,4,930.69,70
3520,Area Sales Manager,TNS,Active,Full-Time,Black,Divorced,Fully Meets,1,17-09-2022,5,1,1,11-Sep-22,Customer Service,External,Incomplete,1,607.93,57
3521,Area Sales Manager,WBL,Active,Contract,Asian,Divorced,Fully Meets,4,19-09-2022,1,3,3,28-Feb-23,Communication Skills,Internal,Incomplete,5,723.5,70
3522,Area Sales Manager,BPC,Active,Full-Time,Other,Single,Fully Meets,1,14-07-2023,1,5,4,05-May-23,Communication Skills,External,Completed,5,394.04,37
3523,Area Sales Manager,CCDR,Active,Full-Time,Other,Single,Fully Meets,2,27-02-2023,3,2,3,10-Jul-23,Leadership Development,External,Incomplete,2,451.18,43
3526,Area Sales Manager,NEL,Active,Full-Time,White,Widowed,Fully Meets,4,28-01-2023,1,5,3,15-Oct-22,Customer Service,Internal,Passed,2,360.5,74
3527,Area Sales Manager,PL,Active,Full-Time,Black,Married,Fully Meets,1,27-02-2023,1,3,2,06-Jan-23,Project Management,Internal,Failed,4,396.28,46
3528,Area Sales Manager,PYZ,Active,Full-Time,Hispanic,Widowed,Fully Meets,2,27-05-2023,5,2,2,02-Mar-23,Technical Skills,External,Passed,1,465.96,31
3529,Area Sales Manager,SVG,Active,Part-Time,Hispanic,Single,Fully Meets,2,15-07-2023,2,3,4,04-Sep-22,Project Management,Internal,Incomplete,1,515.56,26
3530,Area Sales Manager,TNS,Active,Full-Time,Black,Widowed,Fully Meets,2,27-11-2022,1,2,5,18-Jan-23,Customer Service,External,Passed,2,496.85,26
3531,Area Sales Manager,WBL,Active,Full-Time,Black,Divorced,Fully Meets,1,24-02-2023,2,4,4,30-Nov-22,Leadership Development,External,Completed,3,629.46,80
3532,Area Sales Manager,EW,Active,Part-Time,Black,Widowed,Fully Meets,1,08-10-2022,2,2,5,02-May-23,Technical Skills,Internal,Failed,2,771.61,55
3533,Area Sales Manager,MSC,Active,Contract,White,Married,Fully Meets,2,08-01-2023,2,5,2,11-May-23,Leadership Development,Internal,Completed,4,418.4,55
3534,Area Sales Manager,TNS,Active,Full-Time,Asian,Single,Fully Meets,4,14-04-2023,4,3,2,21-May-23,Customer Service,Internal,Completed,3,900.96,59
3535,Area Sales Manager,PYZ,Active,Full-Time,Black,Single,Fully Meets,4,01-11-2022,1,5,1,25-Jun-23,Technical Skills,External,Incomplete,1,936.96,24
3536,Area Sales Manager,WBL,Active,Contract,Black,Single,Fully Meets,2,09-10-2022,1,2,4,23-Nov-22,Leadership Development,External,Passed,5,269.03,33
3539,Area Sales Manager,BPC,Active,Full-Time,Hispanic,Single,Fully Meets,5,06-02-2023,3,3,4,17-Mar-23,Project Management,External,Failed,4,234.77,36
3540,Area Sales Manager,CCDR,Active,Full-Time,White,Widowed,Exceeds,4,25-06-2023,2,2,3,26-Oct-22,Communication Skills,External,Incomplete,2,903.46,37
3541,Area Sales Manager,SVG,Active,Full-Time,Black,Married,Exceeds,2,28-11-2022,1,3,3,22-May-23,Customer Service,External,Passed,4,380.3,29
3542,Area Sales Manager,EW,Active,Contract,White,Married,Needs Improvement,1,18-10-2022,2,3,4,22-Aug-22,Project Management,Internal,Failed,4,511.42,75
3543,Area Sales Manager,MSC,Active,Part-Time,Black,Single,Fully Meets,2,11-02-2023,4,5,5,21-May-23,Communication Skills,External,Passed,4,171.03,39
3544,Area Sales Manager,TNS,Active,Contract,Asian,Single,Fully Meets,2,14-09-2022,3,5,3,02-May-23,Leadership Development,External,Passed,3,842.93,23
3545,Area Sales Manager,EW,Active,Full-Time,Black,Widowed,Fully Meets,1,27-05-2023,2,5,2,04-May-23,Customer Service,External,Incomplete,5,581.12,79
3546,Area Sales Manager,CCDR,Active,Full-Time,Hispanic,Widowed,Exceeds,1,10-05-2023,2,5,5,21-Nov-22,Project Management,External,Passed,4,426.45,41
3547,Area Sales Manager,BPC,Active,Contract,Other,Married,Needs Improvement,2,24-12-2022,2,4,2,24-Apr-23,Technical Skills,External,Failed,4,805.05,75
3548,Area Sales Manager,WBL,Active,Part-Time,White,Single,Fully Meets,1,06-10-2022,5,5,3,16-Aug-22,Leadership Development,External,Passed,3,368.8,57
3549,Area Sales Manager,TNS,Active,Full-Time,Black,Divorced,Fully Meets,2,19-04-2023,1,4,1,02-Nov-22,Communication Skills,External,Failed,5,788.67,63
3551,Area Sales Manager,PYZ,Active,Part-Time,Black,Married,Needs Improvement,4,03-06-2023,4,4,3,27-Oct-22,Communication Skills,External,Incomplete,1,570.13,64
3552,Area Sales Manager,PL,Active,Full-Time,White,Single,Needs Improvement,1,14-10-2022,3,4,2,26-Nov-22,Leadership Development,External,Failed,4,480.87,78
3553,Area Sales Manager,NEL,Active,Contract,Black,Divorced,Fully Meets,4,30-10-2022,4,2,4,11-Dec-22,Project Management,Internal,Incomplete,5,689.48,71
3554,Area Sales Manager,MSC,Active,Part-Time,Asian,Widowed,Fully Meets,1,07-06-2023,2,1,2,05-Jun-23,Project Management,Internal,Completed,4,283.33,61
3555,Area Sales Manager,EW,Active,Full-Time,Hispanic,Widowed,Fully Meets,4,13-01-2023,2,5,1,04-Mar-23,Leadership Development,External,Passed,4,566.12,35
3556,Area Sales Manager,CCDR,Active,Full-Time,White,Single,Exceeds,2,11-06-2023,2,2,3,11-Feb-23,Customer Service,Internal,Incomplete,1,513.92,58
3557,Area Sales Manager,BPC,Active,Part-Time,Other,Single,Fully Meets,2,20-04-2023,4,5,2,04-Feb-23,Project Management,External,Failed,1,210.38,59
3558,Production Technician I,MSC,Active,Part-Time,Black,Single,Fully Meets,1,05-10-2022,2,5,3,18-Jul-23,Technical Skills,Internal,Completed,1,941.54,59
3559,Production Technician I,NEL,Active,Part-Time,White,Single,Fully Meets,2,27-12-2022,3,2,1,30-Nov-22,Project Management,External,Failed,2,959.81,28
3560,Production Technician I,MSC,Active,Contract,Asian,Divorced,Exceeds,4,09-01-2023,2,4,5,22-May-23,Technical Skills,External,Passed,1,738.92,68
3561,Production Technician II,BPC,Active,Part-Time,White,Married,Fully Meets,5,20-11-2022,2,1,5,07-Sep-22,Technical Skills,External,Failed,5,445.04,64
3563,Production Technician I,WBL,Active,Contract,Black,Widowed,PIP,4,31-01-2023,4,1,3,06-Apr-23,Leadership Development,External,Passed,4,886.9,73
3564,Production Technician II,SVG,Terminated,Full-Time,White,Divorced,Fully Meets,1,12-03-2023,4,4,3,10-Dec-22,Technical Skills,External,Incomplete,4,106.14,25
3565,Production Technician I,WBL,Active,Part-Time,Other,Divorced,Fully Meets,4,29-09-2022,5,5,5,06-May-23,Project Management,External,Passed,4,684.35,53
3566,Production Technician II,PL,Active,Part-Time,Black,Single,Fully Meets,2,27-01-2023,1,2,3,05-Sep-22,Communication Skills,Internal,Failed,2,578.81,58
3567,Production Technician I,EW,Active,Full-Time,Asian,Widowed,Fully Meets,4,04-08-2023,2,3,2,09-Jun-23,Customer Service,Internal,Completed,5,764.51,57
3568,Production Technician I,EW,Terminated,Full-Time,Asian,Divorced,Fully Meets,2,07-02-2023,2,4,1,23-Aug-22,Project Management,Internal,Incomplete,2,201.76,49
3569,Production Technician I,MSC,Active,Part-Time,Hispanic,Divorced,Fully Meets,2,24-12-2022,1,3,5,09-Nov-22,Technical Skills,External,Incomplete,4,730.04,24
3570,Production Technician II,TNS,Terminated,Full-Time,Asian,Married,Fully Meets,1,02-01-2023,2,5,3,29-Mar-23,Project Management,External,Failed,2,796.88,45
3571,Production Technician I,NEL,Terminated,Part-Time,White,Widowed,Fully Meets,4,23-11-2022,4,1,5,04-Aug-23,Project Management,External,Completed,3,834.44,75
3572,Production Technician I,WBL,Active,Contract,White,Single,Fully Meets,5,05-12-2022,5,5,5,19-May-23,Leadership Development,Internal,Failed,5,569.17,25
3573,Production Technician I,NEL,Active,Contract,Asian,Divorced,Exceeds,4,31-12-2022,4,1,1,06-Oct-22,Customer Service,Internal,Completed,4,386.07,37
3575,Production Technician I,MSC,Terminated,Part-Time,Hispanic,Single,Exceeds,5,26-06-2023,5,1,5,12-Dec-22,Technical Skills,Internal,Incomplete,3,583.21,34
3576,Production Technician II,PL,Active,Full-Time,Asian,Single,Exceeds,4,23-03-2023,2,3,3,02-Feb-23,Project Management,External,Completed,5,398.65,29
3577,Production Technician I,BPC,Active,Part-Time,White,Widowed,Fully Meets,4,14-08-2022,5,4,5,26-Jan-23,Communication Skills,Internal,Passed,5,931.46,62
3578,Production Technician I,WBL,Active,Full-Time,Hispanic,Married,Exceeds,2,14-10-2022,1,4,2,01-Dec-22,Project Management,External,Completed,5,115.06,62
3579,Production Technician II,BPC,Active,Full-Time,Asian,Widowed,Needs Improvement,4,27-04-2023,5,3,3,27-Apr-23,Communication Skills,External,Failed,2,199.82,75
3580,Production Technician I,PYZ,Active,Full-Time,Other,Married,Fully Meets,4,21-10-2022,2,4,3,04-Nov-22,Communication Skills,Internal,Failed,5,940.2,77
3581,Production Technician I,SVG,Active,Full-Time,Other,Divorced,Fully Meets,2,29-08-2022,3,4,4,29-Jan-23,Communication Skills,External,Completed,1,122.07,77
3582,Production Technician I,TNS,Active,Part-Time,Asian,Widowed,Fully Meets,4,17-09-2022,2,2,5,09-Sep-22,Communication Skills,Internal,Completed,4,875.02,52
3583,Production Technician I,WBL,Active,Full-Time,White,Married,Needs Improvement,4,05-07-2023,4,1,4,18-Mar-23,Communication Skills,Internal,Incomplete,4,116.4,63
3584,Production Technician I,BPC,Active,Contract,Other,Married,Fully Meets,4,28-05-2023,2,2,5,15-Dec-22,Technical Skills,External,Passed,5,341.78,33
3585,Production Technician I,CCDR,Active,Full-Time,Black,Divorced,Fully Meets,4,12-01-2023,1,2,3,14-Feb-23,Communication Skills,Internal,Completed,4,107.48,29
3586,Production Technician I,EW,Active,Part-Time,Hispanic,Single,Fully Meets,2,31-01-2023,4,2,4,30-Sep-22,Communication Skills,External,Completed,1,502.7,19
3587,Production Technician I,MSC,Active,Full-Time,Other,Divorced,Fully Meets,2,24-05-2023,1,2,2,22-Mar-23,Leadership Development,External,Completed,5,570.04,44
3588,Production Technician I,NEL,Active,Full-Time,Black,Widowed,Fully Meets,2,10-05-2023,4,2,1,23-Mar-23,Communication Skills,External,Passed,1,538.83,47
3589,Production Technician I,PL,Active,Contract,White,Single,Fully Meets,1,18-09-2022,2,3,2,07-Jan-23,Communication Skills,Internal,Incomplete,4,881.8,68
3593,Production Technician I,WBL,Active,Contract,Asian,Married,Fully Meets,1,07-10-2022,4,4,3,15-Jun-23,Project Management,Internal,Incomplete,3,258.07,71
3594,Production Technician I,PYZ,Active,Part-Time,Black,Married,Needs Improvement,1,23-01-2023,1,5,1,05-May-23,Leadership Development,Internal,Passed,5,472.64,50
3595,Production Technician I,WBL,Active,Contract,Other,Divorced,Fully Meets,1,19-01-2023,2,3,1,21-Feb-23,Technical Skills,External,Passed,2,252.88,68
3596,Production Technician I,NEL,Active,Part-Time,Other,Single,Needs Improvement,2,19-10-2022,4,3,4,14-Dec-22,Technical Skills,Internal,Incomplete,2,289.68,37
3598,Production Technician II,SVG,Terminated,Part-Time,Other,Married,Needs Improvement,1,01-07-2023,2,5,4,11-Oct-22,Technical Skills,Internal,Passed,3,373.87,68
3599,Production Technician II,TNS,Active,Part-Time,White,Divorced,Fully Meets,2,02-03-2023,4,4,2,02-Mar-23,Leadership Development,Internal,Completed,5,918.86,70
3600,Production Technician II,WBL,Active,Contract,White,Single,Fully Meets,2,04-07-2023,2,1,4,01-Nov-22,Leadership Development,Internal,Passed,4,299.7,73
3601,Production Technician II,BPC,Active,Part-Time,White,Married,Fully Meets,5,01-09-2022,1,1,2,03-Jan-23,Project Management,External,Completed,1,865.58,56
3602,Production Technician II,CCDR,Terminated,Full-Time,Hispanic,Married,Fully Meets,5,04-08-2023,3,3,3,09-Apr-23,Technical Skills,External,Incomplete,1,632.59,27
3603,Production Technician II,EW,Terminated,Full-Time,White,Married,Fully Meets,2,08-10-2022,5,1,3,02-Oct-22,Technical Skills,External,Incomplete,3,680.48,41
3604,Production Technician II,MSC,Active,Part-Time,Hispanic,Divorced,Needs Improvement,4,15-12-2022,3,5,4,23-Mar-23,Project Management,External,Failed,3,287.71,71
3605,Production Technician I,CCDR,Active,Contract,Other,Divorced,Fully Meets,4,09-07-2023,5,1,3,17-Nov-22,Communication Skills,External,Passed,2,102.92,76
3606,Production Technician I,SVG,Terminated,Part-Time,Other,Divorced,Fully Meets,3,27-03-2023,3,5,1,31-Oct-22,Project Management,Internal,Passed,2,255.6,54
3607,Production Technician I,EW,Active,Full-Time,Other,Married,Fully Meets,5,18-07-2023,2,4,1,04-May-23,Customer Service,External,Passed,4,321.91,43
3608,Production Technician I,MSC,Active,Full-Time,Other,Married,Fully Meets,3,12-01-2023,1,3,1,14-Mar-23,Project Management,External,Completed,3,834.12,40
3609,Production Technician I,TNS,Active,Contract,Other,Widowed,Fully Meets,3,05-11-2022,2,2,4,23-Sep-22,Customer Service,Internal,Passed,4,273.88,28
3610,Production Technician I,PYZ,Active,Part-Time,Other,Single,Fully Meets,3,14-12-2022,4,5,5,15-Feb-23,Customer Service,Internal,Incomplete,4,217.57,45
3611,Production Technician I,WBL,Active,Contract,Hispanic,Married,Fully Meets,2,16-09-2022,2,3,4,07-Jan-23,Customer Service,Internal,Completed,1,482.09,69
3612,Production Technician I,NEL,Active,Contract,Black,Single,PIP,4,07-07-2023,5,3,3,03-Jul-23,Leadership Development,External,Failed,2,614.11,38
3613,Production Technician I,PL,Active,Contract,Asian,Married,Exceeds,1,13-10-2022,1,5,2,08-Oct-22,Customer Service,Internal,Incomplete,1,354.22,46
3614,Production Technician I,BPC,Active,Contract,White,Married,Fully Meets,2,04-07-2023,4,5,1,04-Jun-23,Leadership Development,External,Passed,3,868.85,47
3616,Production Technician I,SVG,Active,Contract,Hispanic,Married,Fully Meets,4,04-08-2023,1,1,1,30-Jan-23,Customer Service,Internal,Incomplete,4,134.93,41
3617,Production Technician I,EW,Active,Full-Time,Hispanic,Married,Fully Meets,1,26-02-2023,2,3,3,09-Apr-23,Customer Service,Internal,Completed,5,531.1,62
3618,Production Technician I,MSC,Active,Part-Time,Black,Married,Fully Meets,3,06-12-2022,3,4,5,26-Dec-22,Leadership Development,External,Passed,3,609.3,79
